sigla_uf;id_municipio;populacao_urbana_2013;populacao_urbana_2035;prestador_servico_esgoto;sigla_prestador;indice_sem_atend;indice_atend_solucao_ind;indice_atend_col_sem_trat;indice_atend_col_trat;vazao_sem_col_sem_trat;vazao_solucao_ind;vazao_col_sem_trat;vazao_col_trat;vazao_total;parcela_carga_sem_col_sem_trat;parcela_carga_solucao_ind;parcela_carga_col_sem_trat;parcela_carga_col_trat;carga_gerada;carga_lancada_sem_col_sem_trat;carga_lancada_solucao_ind;carga_lancada_col_sem_trat;carga_lancada_col_trat;carga_lancada;indice_atend_etes_avaliado_2035;indice_atend_solucao_ind_2035;carga_gerada_2035;carga_afluente_ete_2035;carga_efluente_ete_2035;carga_afluente_solucao_ind_2035;carga_efluente_solucao_ind_2035;populacao_atendida_2035;investimento_col;investimento_trat;investimento_col_trat;necessidade_remocao_dbo;tipologia_solucao;atencao_fosforo;atencao_nitrogenio;;
RO;1100114;37544;39204;Prefeitura Municipal de Jaru;PM;94,9;3,4;1,7;0;54,6;1,9;1;0;57,6;1923,9;68,5;34,9;0;2027,4;1923,9;27,4;34,9;0;1986,3;90;10;2117;1905,3;762,1;211,7;84,7;35284;40490907,58;7789008,21;48279915,79;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100122;115123;139345;Companhia de Águas e Esgotos de Rondônia;CAERD;77,1;18,6;4,3;0;145;35;8;0;188;4792,3;1158,3;266;0;6216,6;4792,3;463,3;266;0;5521,7;90;10;7524,6;6772,1;2708,9;752,5;301;125411;133737253,5;28718950,42;162456203,9;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100130;18509;30581;Prefeitura Municipal de Machadinho D Oeste;PM;96,5;2,8;0,8;0;31,6;0,9;0,3;0;32,8;964,2;27,4;7,8;0;999,5;964,2;11;7,8;0;983;90;10;1651,4;1486,3;594,5;165,1;66;27523;33592085,27;6337774,03;39929859,3;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100148;9035;15799;Prefeitura Municipal de Nova Brasilândia D Oeste;PM;92;6;2;0;13,1;0,9;0,3;0;14,3;449,1;29,3;9,5;0;487,9;449,1;11,7;9,5;0;470,3;90;10;853,1;767,8;76,8;85,3;34,1;14219;17229989,07;4379510,36;21609499,43;Acima de 80%;Tratamento secundário avançado;Não;Não;;
RO;1100155;29793;29335;Prefeitura Municipal de Ouro Preto do Oeste;PM;90,4;7,5;2;0;39,9;3,3;0,9;0;44,1;1455,1;121,4;32,4;0;1608,8;1455,1;48,6;32,4;0;1536;90;10;1584,1;1425,7;285,1;158,4;63,4;26402;30173703,48;4114409,29;34288112,76;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100189;32128;37692;Prefeitura Municipal de Pimenta Bueno;PM;60,2;30,3;9,5;0;28,4;14,3;4,5;0;47,1;1044,8;526;164,2;0;1734,9;1044,8;210,4;164,2;0;1419,3;90;10;2035,4;1831,9;732,7;203,5;81,4;33923;36101840,74;7538851,6;43640692,34;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100205;442218;604655;Companhia de Águas e Esgotos de Rondônia;CAERD;54,7;35,1;10,2;0;398,9;255,8;74,6;0;729,3;13061,8;8374,9;2443,1;0;23879,8;13061,8;3350;2443,1;0;18854,8;100;0;32651,4;32651,4;6530,2;0;0;604655;605843993,3;138466006,2;744309999,5;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100254;13719;14082;Prefeitura Municipal de Presidente Médici;PM;96,9;1,3;1,8;0;20;0,3;0,4;0;20,7;717,5;9,6;13,6;0;740,8;717,5;3,9;13,6;0;735;90;10;760,4;684,4;273,8;76;30,4;12674;15241019,58;3329750,47;18570770,04;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100262;1176;2019;Prefeitura Municipal de Rio Crespo;PM;99,5;0,5;0;0;1,9;0;0;0;1,9;63,2;0,3;0;0;63,5;63,2;0,1;0;0;63,3;90;10;109;98,1;39,2;10,9;4,4;1817;2940169,79;416130,34;3356300,13;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100288;45281;56233;Prefeitura Municipal de Rolim de Moura;PM;81,6;16,8;0;1,6;56,9;11,7;0;1,1;69,7;1995;411,6;0;38,6;2445,2;1995;164,6;0;38,6;2198,2;90;10;3036,6;2732,9;273,3;303,7;121,5;50610;58326879,93;16313832,59;74640712,52;Acima de 80%;Tratamento secundário avançado;Não;Não;;
RO;1100296;4526;5517;Prefeitura Municipal de Santa Luzia D Oeste;PM;96;1,1;2,9;0;6,3;0,1;0,2;0;6,6;234,7;2,7;7;0;244,4;234,7;1,1;7;0;242,8;90;10;297,9;268,1;107,2;29,8;11,9;4965;7825637,5;1529860,74;9355498,24;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100304;83140;114589;Serviço Autônomo de Água e Esgoto;SAAE;85,8;12,2;2;0;158,4;22,6;3,8;0;184,8;3850;548,4;91,2;0;4489,6;3850;219,3;91,2;0;4160,5;90;10;6187,8;5569;556,9;618,8;247,5;103130;112599832,1;27779510,01;140379342,1;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100320;9184;11866;Prefeitura Municipal de São Miguel do Guaporé;PM;95,8;2,9;1,4;0;13,9;0,4;0,2;0;14,5;475;14,2;6,7;0;495,9;475;5,7;6,7;0;487,4;90;10;640,8;576,7;230,7;64,1;25,6;10679;12952237,03;2888644,62;15840881,65;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100338;15200;24881;Prefeitura Municipal de Nova Mamoré;PM;90,3;9,2;0,6;0;22;2,2;0,1;0;24,3;741;75,3;4,5;0;820,8;741;30,1;4,5;0;775,6;90;10;1343,6;1209,2;483,7;134,4;53,8;22393;27373490,15;5340552,93;32714043,09;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100346;9110;10527;Serviço Autônomo de Água e Esgoto de Alvorada D'Oeste;SAAE;6,7;3,3;0,1;89,9;0,9;0,5;0;12,7;14,2;33;16,2;0,5;442,2;491,9;33;6,5;0,5;110,6;150,5;90;10;568,5;511,7;127,9;56,9;22,8;9474;1564551,99;213300,42;1777852,41;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100379;3945;7763;Prefeitura Municipal de Alto Alegre dos Parecis;PM;98,2;0,4;1,4;0;3,1;0;0;0;3,2;209,2;0,8;3;0;213;209,2;0,3;3;0;212,5;90;10;419,2;377,3;37,7;41,9;16,8;6987;11215690,16;2151946,64;13367636,8;Acima de 80%;Tratamento secundário avançado;Não;Não;;
RO;1100403;9314;15338;Prefeitura Municipal de Alto Paraíso;PM;86,6;12,9;0,5;0;9,2;1,4;0,1;0;10,7;435,7;64,7;2,6;0;503;435,7;25,9;2,6;0;464,1;90;10;828,3;745,5;298,2;82,8;33,1;13804;16879535,14;3574441,75;20453976,89;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100452;20457;26784;Prefeitura Municipal de Buritis;PM;96,9;2,5;0,5;0;30,2;0,8;0,2;0;31,2;1070,8;28;5,9;0;1104,7;1070,8;11,2;5,9;0;1087,9;90;10;1446,3;1301,7;260,3;144,6;57,8;24106;28052366,41;3892237,07;31944603,49;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100502;1780;5356;Prefeitura Municipal de Novo Horizonte do Oeste;PM;98,2;1,3;0,5;0;2,1;0;0;0;2,1;94,4;1,2;0,5;0;96,1;94,4;0,5;0,5;0;95,4;90;10;289,2;260,3;104,1;28,9;11,6;4820;7783982,25;1103805,36;8887787,61;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100601;2261;2935;Prefeitura Municipal de Cacaulândia;PM;53,6;45,9;0,6;0;1,5;1,3;0;0;2,9;65,4;56;0,7;0;122,1;65,4;22,4;0,7;0;88,5;90;10;158,5;142,7;57,1;15,9;6,4;2642;4253254,02;604977,78;4858231,8;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100700;3710;4671;Prefeitura Municipal de Campo Novo de Rondônia;PM;98,4;0,4;1,2;0;7,2;0;0,1;0;7,3;197,1;0,8;2,4;0;200,3;197,1;0,3;2,4;0;199,8;90;10;252,2;227;90,8;25,2;10,1;4204;6731139,51;962757,89;7693897,4;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100809;14968;20388;Prefeitura Municipal de Candeias do Jamari;PM;85,8;8,1;6,1;0;19,1;1,8;1,4;0;22,3;693,7;65,2;49,4;0;808,3;693,7;26,1;49,4;0;769,2;90;10;1101;990,9;396,3;110,1;44;18349;21391667,67;4526869,64;25918537,32;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100908;863;1758;Prefeitura Municipal de Castanheiras;PM;96,3;3,5;0,2;0;0,8;0;0;0;0,8;44,9;1,6;0,1;0;46,6;44,9;0,6;0,1;0;45,6;90;10;94,9;85,4;34,2;9,5;3,8;1582;2556801,49;362343,95;2919145,44;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100924;4252;7812;Prefeitura Municipal de Chupinguaia;PM;97,1;0,9;2;0;6,1;0,1;0,1;0;6,2;222,8;2,1;4,6;0;229,6;222,8;0,9;4,6;0;228,3;90;10;421,8;379,6;151,9;42,2;16,9;7031;11236657,37;2041739,32;13278396,7;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100940;13520;19043;Prefeitura Municipal de Cujubim;PM;89;10,2;0,8;0;19,5;2,2;0,2;0;21,9;650;74,1;6;0;730,1;650;29,6;6;0;685,6;90;10;1028,3;925,5;370,2;102,8;41,1;17139;20893739,28;4277498,65;25171237,94;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101005;2366;5660;Prefeitura Municipal de Governador Jorge Teixeira;PM;47,2;51,7;1,1;0;1,6;1,8;0;0;3,5;60,3;66,1;1,4;0;127,8;60,3;26,4;1,4;0;88,1;90;10;305,6;275;55;30,6;12,2;5094;8199290,12;845537,85;9044827,97;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101104;5890;9810;Prefeitura Municipal de Itapuã do Oeste;PM;97,8;0,5;1,7;0;12,4;0,1;0,2;0;12,7;311,2;1,6;5,3;0;318,1;311,2;0,6;5,3;0;317,1;90;10;529,7;476,7;190,7;53;21,2;8829;10712471,16;2466543,51;13179014,67;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101203;3236;5610;Prefeitura Municipal de Ministro Andreazza;PM;85,6;5,7;8,7;0;3,9;0,3;0,4;0;4,5;149,6;9,9;15,2;0;174,7;149,6;4;15,2;0;168,8;90;10;302,9;272,6;109;30,3;12,1;5049;7714144,74;1551089,39;9265234,13;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101302;6765;7504;Prefeitura Municipal de Mirante da Serra;PM;98,9;1,1;0;0;9,3;0,1;0;0;9,4;361,2;4,1;0;0;365,3;361,2;1,7;0;0;362,8;90;10;405,2;364,7;145,9;40,5;16,2;6754;8287109,3;1974813,16;10261922,46;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101401;8150;12894;Prefeitura Municipal de Monte Negro;PM;97,7;1,4;0,9;0;10,6;0,2;0,1;0;10,8;429,8;6,3;4;0;440,1;429,8;2,5;4;0;436,3;90;10;696,3;626,7;250,7;69,6;27,8;11605;14147213,45;3094890,37;17242103,83;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101435;1621;3604;Prefeitura Municipal de Nova União;PM;99,7;0,1;0,2;0;2;0;0;0;2;87,2;0,1;0,2;0;87,5;87,2;0;0,2;0;87,5;90;10;194,6;175,1;70,1;19,5;7,8;3244;5242366,74;742689,28;5985056,02;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101450;2020;4074;Prefeitura Municipal de Parecis;PM;98,7;0,5;0,9;0;3,1;0;0;0;3,2;107,6;0,6;0,9;0;109,1;107,6;0,2;0,9;0;108,7;90;10;220;198;79,2;22;8,8;3667;5904932,87;839652,76;6744585,62;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101468;1362;1205;Prefeitura Municipal de Pimenteiras do Oeste;PM;96,8;1,2;2;0;1,6;0;0;0;1,7;71,2;0,9;1,5;0;73,5;71,2;0,3;1,5;0;73;90;10;65,1;58,6;23,4;6,5;2,6;1085;1715558,48;248361,03;1963919,51;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101476;1311;1885;Serviço Autônomo de Água e Esgoto de Primavera de Rondônia;SAAE;97,2;1,6;1,2;0;2,8;0;0;0;2,9;68,8;1,2;0,8;0;70,8;68,8;0,5;0,8;0;70,1;90;10;101,8;91,6;36,6;10,2;4,1;1697;2720000,91;388476,46;3108477,37;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101484;1492;3228;Prefeitura Municipal de São Felipe D Oeste;PM;98,1;0,6;1,4;0;3,2;0;0;0;3,3;79;0,4;1,1;0;80,6;79;0,2;1,1;0;80,3;90;10;174,3;156,9;62,8;17,4;7;2905;4666814,67;665239,39;5332054,06;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101492;9371;16195;Prefeitura Municipal de São Francisco do Guaporé;PM;97,1;2,6;0,3;0;13,4;0,4;0;0;13,8;491,1;13,3;1,6;0;506;491,1;5,3;1,6;0;498,1;90;10;874,5;787,1;314,8;87,5;35;14576;17847941,79;3739407,35;21587349,14;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101500;4728;6511;Prefeitura Municipal de Seringueiras;PM;90,5;8,9;0,7;0;6,7;0,7;0;0;7,4;230,9;22,7;1,7;0;255,3;230,9;9,1;1,7;0;241,7;90;10;351,6;316,4;126,6;35,2;14,1;5860;9430221,71;1755160,78;11185382,49;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101559;1783;2646;Prefeitura Municipal de Teixeirópolis;PM;98;0,7;1,3;0;2,1;0;0;0;2,1;94,3;0,7;1,3;0;96,3;94,3;0,3;1,3;0;95,9;90;10;142,9;128,6;51,4;14,3;5,7;2381;3813835,54;545255,3;4359090,85;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101609;2107;5492;Prefeitura Municipal de Theobroma;PM;84,5;12,4;3,1;0;2,5;0,4;0,1;0;3;96,1;14,2;3,5;0;113,8;96,1;5,7;3,5;0;105,3;90;10;296,6;266,9;106,8;29,7;11,9;4943;7892475,68;1524043,25;9416518,93;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101708;5342;7014;Prefeitura Municipal de Urupá;PM;83,6;15,6;0,8;0;6,9;1,3;0,1;0;8,2;241,2;44,9;2,4;0;288,5;241,2;18;2,4;0;261,5;90;10;378,8;340,9;136,4;37,9;15,2;6313;7692490,18;1867194,43;9559684,61;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101757;3578;8127;Prefeitura Municipal de Vale do Anari;PM;99,6;0,4;0;0;4,7;0;0;0;4,7;192,4;0,8;0;0;193,2;192,4;0,3;0;0;192,7;90;10;438,9;395;158;43,9;17,6;7314;11834980,68;2109936,35;13944917,03;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1101807;2336;4382;Prefeitura Municipal de Vale do Paraíso;PM;99,7;0,2;0,1;0;2,7;0;0;0;2,7;125,8;0,3;0,1;0;126,1;125,8;0,1;0,1;0;126;90;10;236,6;212,9;85,2;23,7;9,5;3944;6377319,66;903069,7;7280389,37;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200013;6301;12193;Prefeitura Municipal de Acrelândia;PM;77,9;21;1;0;9;2,4;0,1;0;11,5;265,2;71,5;3,5;0;340,3;265,2;28,6;3,5;0;297,3;90;10;658,4;592,6;237;65,8;26,3;10974;13384773,86;2954466,96;16339240,82;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200054;3949;6064;Prefeitura Municipal de Assis Brasil;PM;65,4;30,2;4,4;0;4,6;2,1;0,3;0;7,1;139,5;64,4;9,3;0;213,2;139,5;25,8;9,3;0;174,6;100;0;327,5;327,5;54,6;0;0;6064;9533633,05;1805870,57;11339503,62;Acima de 80%;Tratamento secundário avançado;Não;Não;;
AC;1200104;15257;22998;Prefeitura Municipal de Brasiléia;PM;62,9;13,1;0;24;17,5;3,7;0;6,7;27,8;518;108;0;197,9;823,9;518;43,2;0;59,4;620,6;90;10;1241,9;1117,7;335,3;124,2;49,7;20698;20901071,36;4255899,48;25156970,84;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200138;3925;8318;Prefeitura Municipal de Bujari;PM;75,3;22,6;2,1;0;5,7;1,7;0,2;0;7,5;159,6;48;4,4;0;212;159,6;19,2;4,4;0;183,2;90;10;449,2;404,3;161,7;44,9;18;7486;11980444,17;2150972,96;14131417,12;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200179;4393;8839;Prefeitura Municipal de Capixaba;PM;46,5;51,2;2,4;0;3,5;3,9;0,2;0;7,5;110,2;121,4;5,7;0;237,2;110,2;48,5;5,7;0;164,4;90;10;477,3;429,6;85,9;47,7;19,1;7955;12701394,69;1320556,49;14021951,17;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200203;56644;77692;Prefeitura Municipal de Cruzeiro do Sul;PM;82,9;10,9;6,2;0;75,7;10;5,6;0;91,3;2536,7;333,5;188,6;0;3058,8;2536,7;133,4;188,6;0;2858,7;90;10;4195,4;3775,9;1510,3;419,5;167,8;69923;73737027,28;13741283,06;87478310,34;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200252;11320;19091;Prefeitura Municipal de Epitaciolândia;PM;71,6;23,2;5,2;0;15,2;4,9;1,1;0;21,2;437,8;141,8;31,7;0;611,3;437,8;56,7;31,7;0;526,2;90;10;1030,9;927,8;371,1;103,1;41,2;17182;20363077;4286546,82;24649623,81;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200302;16635;28234;Prefeitura Municipal de Feijó;PM;84;11;5;0;24,1;3,2;1,4;0;28,7;754,7;99,1;44,5;0;898,3;754,7;39,6;44,5;0;838,8;100;0;1524,6;1524,6;254,2;0;0;28234;33630509,08;6473355,33;40103864,41;Acima de 80%;Tratamento secundário avançado;Não;Não;;
AC;1200328;2469;6479;Prefeitura Municipal de Jordão;PM;87,2;11,4;1,5;0;3,2;0,4;0,1;0;3,7;116,2;15,1;2;0;133,3;116,2;6,1;2;0;124,2;90;10;349,9;314,9;126;35;14;5831;9374285,47;1747996;11122281,47;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200336;9443;18118;Prefeitura Municipal de Mâncio Lima;PM;99,1;0,3;0,6;0;16,3;0,1;0,1;0;16,5;505,3;1,6;3;0;509,9;505,3;0,7;3;0;508,9;90;10;978,4;880,6;264,2;97,8;39,1;16306;19938573,53;4104311,03;24042884,56;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200344;5546;8567;Prefeitura Municipal de Manoel Urbano;PM;80,4;12,8;6,9;0;7,3;1,2;0,6;0;9;240,6;38,2;20,6;0;299,5;240,6;15,3;20,6;0;276,5;100;0;462,6;462,6;69,4;0;0;8567;10044124,67;2405775,89;12449900,56;Acima de 80%;Tratamento secundário avançado;Não;Não;;
AC;1200351;4424;14312;Prefeitura Municipal de Marechal Thaumaturgo;PM;77,7;19,4;3;0;5;1,3;0,2;0;6,5;185,6;46,2;7;0;238,9;185,6;18,5;7;0;211,2;90;10;772,8;695,5;278,2;77,3;30,9;12881;20630619,23;3374842,64;24005461,87;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200385;10736;14670;Prefeitura Municipal de Plácido de Castro;PM;79,4;14;0;6,6;14,8;2,6;0;1,2;18,6;460,4;80,9;0;38,5;579,7;460,4;32,3;0;8,1;500,8;90;10;792,2;713;149,7;79,2;31,7;13203;15326344,05;3672326,94;18998670,98;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200393;3673;9131;Prefeitura Municipal de Porto Walter;PM;97,5;0,7;1,8;0;4,4;0;0,1;0;4,6;193,4;1,4;3,5;0;198,3;193,4;0,5;3,5;0;197,5;90;10;493,1;443,8;177,5;49,3;19,7;8218;13191772,61;2324147,42;15515920,03;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200401;327970;433731;Departamento Estadual de Pavimentação e Saneamento;DEPASA;31,9;12;0;56,1;118,2;44,4;0;207,8;370,5;5651,2;2123,7;0;9935,5;17710,4;5651,2;849,5;0;1942,8;8443,5;100;0;23421,5;23421,5;477,2;0;0;433731;270468359,6;60325181,4;330793541;Acima de 80%;Tratamento secundário avançado;Não;Não;;
AC;1200427;4789;7087;Prefeitura Municipal de Rodrigues Alves;PM;84,9;14,8;0,3;0;5;0,9;0;0;5,9;219,7;38,3;0,7;0;258,6;219,7;15,3;0,7;0;235,6;90;10;382,7;344,4;137,8;38,3;15,3;6378;10300333,22;1883204,35;12183537,56;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200435;2167;5033;Prefeitura Municipal de Santa Rosa do Purus;PM;93,1;6;0,9;0;2,9;0,2;0;0;3,2;109;7;1,1;0;117;109;2,8;1,1;0;112,8;90;10;271,8;244,6;97,8;27,2;10,9;4530;7296883,76;1037206,92;8334090,67;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200450;13093;14828;Prefeitura Municipal de Senador Guiomard;PM;75,6;23,3;1,2;0;16,3;5;0,2;0;21,5;534,5;164,4;8,2;0;707;534,5;65,7;8,2;0;608,4;90;10;800,7;720,6;144,1;80,1;32;13345;16188714,02;2713690,65;18902404,67;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200500;26619;41115;Prefeitura Municipal de Sena Madureira;PM;81;12,5;6,5;0;35,1;5,4;2,8;0;43,3;1164,6;180;92,8;0;1437,4;1164,6;72;92,8;0;1329,4;90;10;2220,2;1998,2;799,3;222;88,8;37004;41247046,29;8102757,15;49349803,44;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200609;20428;32448;Prefeitura Municipal de Tarauacá;PM;85,1;12,6;2,3;0;23,9;3,5;0,7;0;28,1;938,8;138,8;25,5;0;1103,1;938,8;55,5;25,5;0;1019,8;100;0;1752,2;1752,2;350,4;0;0;32448;37378343,86;9087059,7;46465403,56;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200708;10927;20473;Prefeitura Municipal de Xapuri;PM;62,8;12,2;25;0;14,7;2,9;5,9;0;23,4;370,3;72;147,8;0;590,1;370,3;28,8;147,8;0;546,8;90;10;1105,5;995;398;110,6;44,2;18426;19250527,61;4542476;23793003,61;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
AC;1200807;2135;6959;Prefeitura Municipal de Porto Acre;PM;76,6;23;0,4;0;2,9;0,9;0;0;3,8;88,3;26,5;0,5;0;115,3;88,3;10,6;0,5;0;99,4;90;10;375,8;338,2;135,3;37,6;15;6263;10119523,56;1854895,57;11974419,13;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
