,Código do Município,Município,Estado,Ano de Referência,Prestadores,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN039 - Despesa com esgoto exportado
68,"270430,00",Maceió,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27043040] Superintendência Municipal de Desenvolvimento Sustentável - SUDES,59401.0,108147.0,403.03,13183.0,13183.0,15944.13,67199.0,438512.0,0.0
70,"270450,00",Maragogi,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,2768.0,3145.0,22.5,336.93,336.93,437.77,3159.0,10388.0,0.0
72,"270470,00",Marechal Deodoro,AL,"2019,00",[27047011] Serviço Autônomo de Água e Esgoto - SAAE,5967.0,5967.0,44.6,1430.89,1430.89,933.12,7835.0,26648.0,0.0
88,"270630,00",Palmeira dos Índios,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27063040] SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS E CONVÍVIO URBANO - SPCU,837.0,837.0,4.91,88.34,88.34,108.05,857.0,3348.0,0.0
93,"270660,00",Paulo Jacinto,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,414.0,414.0,3.02,37.05,37.05,51.33,442.0,1656.0,0.0
98,"270710,00",Piranhas,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,2172.0,2267.0,28.1,274.47,274.47,328.4,2366.0,8364.0,0.0
103,"270760,00",Quebrangulo,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,348.0,348.0,3.18,30.78,30.78,44.21,354.0,1392.0,0.0
104,"270770,00",Rio Largo,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,6132.0,6135.0,25.0,585.96,585.96,769.26,7179.0,24412.0,0.0
105,"270780,00",Roteiro,AL,"2019,00",[27078011] Prefeitura Municipal de Roteiro - PMR | [27078040] Prefeitura Municipal de Roteiro - PMR,1298.0,1298.0,12.0,86.4,0.0,0.0,1860.0,5800.0,0.0
107,"270800,00",Santana do Ipanema,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,2373.0,2391.0,58.3,115.13,115.13,260.07,2843.0,9028.0,0.0
113,"270860,00",São Miguel dos Campos,AL,"2019,00",[27086011] Serviço Autônomo de Água e Esgoto - SAAE | [27086040] Prefeitura Municipal de São Miguel dos Campos - PMSMC,9823.0,9823.0,109.75,1652.6,315.46,2092.99,12098.0,30063.0,0.0
120,"270915,00",Teotônio Vilela,AL,"2019,00",[27091511] Serviço Autônomo de Água e Esgoto do Município de Teotônio Vilela - SAAE | [27091540] Prefeitura Municipal de Teotônio Vilela - PMTV,6120.0,6130.0,52.0,1890.0,1890.0,0.0,6150.0,27500.0,0.0
122,"270930,00",União dos Palmares,AL,"2019,00",[27093011] Serviço Autônomo de Água e Esgoto - SAAE,15855.0,15885.0,70.34,806.2,672.1,738.34,21371.0,44908.0,0.0
140,"130100,00",Carauari,AM,"2019,00",[13026000] Companhia de Saneamento do Amazonas - COSAMA | [13010011] Prefeitura Municipal de Carauari - PMC | [13010040] SECRETARIA MUNICIPAL DE OBRAS E URBANISMO - SEMOBUR,2470.0,3000.0,20.0,113.0,0.0,0.0,2500.0,6000.0,0.0
148,"130165,00",Guajará,AM,"2019,00",[13016511] Prefeitura Municipal de Guajará - PMG | [13016540] Prefeitura Municipal de Guajará - PMG,250.0,270.0,3.3,97.0,0.0,0.0,300.0,782.0,0.0
161,"130260,00",Manaus,AM,"2019,00",[13026011] Manaus Ambiental - MA | [13026040] SECRETARIA MUNICIPAL DE LIMPEZA URBAN - SEMULSP,64786.0,73241.0,579.11,19544.57,19544.57,10491.18,108121.0,434340.0,0.0
186,"160010,00",Amapá,AP,"2019,00",[16003000] Companhia de Água e Esgoto do Amapá - CAESA,108.0,130.0,3.69,30.96,0.0,30.96,144.0,417.0,0.0
192,"160030,00",Macapá,AP,"2019,00",[16003000] Companhia de Água e Esgoto do Amapá - CAESA | [16003040] Prefeitura Municipal de Macapá - PMM,12545.0,17135.0,95.61,2725.82,2725.82,2725.99,13533.0,55268.0,0.0
193,"160040,00",Mazagão,AP,"2019,00",[16003000] Companhia de Água e Esgoto do Amapá - CAESA,89.0,134.0,3.34,28.19,0.0,28.19,205.0,326.0,0.0
194,"160050,00",Oiapoque,AP,"2019,00",[16003000] Companhia de Água e Esgoto do Amapá - CAESA | [16005040] MUNICÍPIO DE OIAPOQUE - PMO,90.0,114.0,4.66,23.35,0.0,23.35,182.0,282.0,0.0
198,"160060,00",Santana,AP,"2019,00",[16003000] Companhia de Água e Esgoto do Amapá - CAESA,320.0,329.0,9.42,71.01,0.0,71.01,380.0,1433.0,0.0
199,"160005,00",Serra do Navio,AP,"2019,00",[16003000] Companhia de Água e Esgoto do Amapá - CAESA,375.0,632.0,7.67,145.41,145.41,145.41,407.0,1848.0,0.0
203,"290020,00",Abaré,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,2150.0,2161.0,25.04,197.51,197.51,223.33,2262.0,6793.0,0.0
208,"290070,00",Alagoinhas,BA,"2019,00",[29007011] Serviço Autônomo de Água e Esgoto - SAAE | [29007040] SECRETARIA DE SERVIÇOS PÚBLICOS - SESEP,13111.0,13472.0,100.18,1738.0,1318.0,1447.0,15505.0,52360.0,0.0
211,"290100,00",Amargosa,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,335.0,335.0,2.71,28.59,28.59,33.01,342.0,953.0,0.0
226,"290210,00",Araci,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29021011] Prefeitura Municipal de Araci - PMA | [29021040] Prefeitura Municipal de Araci - PMA,1594.0,15617.0,2247.74,1474.06,18.06,23.16,15947.0,15956.0,0.0
232,"290260,00",Baixa Grande,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29026011] Prefeitura Municipal de Baixa Grande - PMBG,1220.0,1220.0,9.2,403.25,0.0,0.0,1320.0,3200.0,0.0
233,"290265,00",Banzaê,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29026511] Prefeitura Municipal de Banzaê - PMB | [29026540] PREFEITURA MUNICIPAL DE BANZAÊ - PMB,300.0,2500.0,3.4,10.0,0.0,0.0,350.0,750.0,0.0
235,"290280,00",Barra da Estiva,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29028011] Prefeitura Municipal de Barra da Estiva - PMBE | [29028040] PREFEITURA MUNICIPAL DE BARRA DA ESTIVA - PMBE,3600.0,,90.0,420.0,0.0,0.0,4500.0,10115.0,0.0
236,"290290,00",Barra do Choça,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,149.0,150.0,1.15,15.16,15.16,17.68,161.0,430.0,0.0
239,"290320,00",Barreiras,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,37460.0,42129.0,298.93,4528.46,4528.46,5130.52,40218.0,135369.0,0.0
243,"290340,00",Belmonte,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,4374.0,4461.0,37.05,515.76,515.76,407.69,4857.0,9348.0,0.0
245,"290360,00",Biritinga,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29036011] Prefeitura Municipal de Biritinga - PMB | [29036040] Prefeitura Municipal de Biritinga - PMB,419.0,,3.0,95.0,0.0,0.0,420.0,3650.0,0.0
247,"290380,00",Boa Vista do Tupim,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29038011] Prefeitura Municipal de Boa Vista do Tupim - PMBVT | [29038040] Prefeitura Municipal de Boa Vista do Tupim - PMBVT,400.0,,4.0,540.0,0.0,0.0,570.0,6807.0,11630.0
248,"290390,00",Bom Jesus da Lapa,BA,"2019,00",[29039011] Serviço Autônomo de Água e Esgoto - SAAE | [29039040] Prefeitura Municipal de Bom Jesus da Lapa - PM,9039.0,9039.0,179.0,1833.56,1493.24,1466.84,10069.0,22083.0,0.0
254,"290430,00",Brejões,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29043011] Prefeitura Municipal de Brejões - PMB,2990.0,3010.0,21.5,496.0,0.0,0.0,2995.0,4941.0,0.0
256,"290450,00",Brotas de Macaúbas,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29045011] Prefeitura Municipal de Brotas de Macaubas - PMBM | [29045040] Prefeitura Municipal d Brotas de Macaúbas - PMBM,688.0,,10.82,71.0,0.0,0.0,688.0,1900.0,0.0
257,"290460,00",Brumado,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29046040] Prefeitura Municipal de Brumado - PMB,1743.0,1749.0,11.39,157.45,157.45,176.6,1880.0,5064.0,0.0
261,"290485,00",Cabaceiras do Paraguaçu,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29048540] PREFEITURA MUNICIPAL DE CABACEIRAS DO PARAGUAÇU - PMCP,216.0,219.0,2.84,19.94,19.94,22.1,229.0,688.0,0.0
262,"290490,00",Cachoeira,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,5437.0,5706.0,73.43,545.8,545.8,561.12,6036.0,14002.0,0.0
263,"290500,00",Caculé,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29050011] Prefeitura Municipal de Caculé - PMC,1420.0,1450.0,8.0,108.0,30.0,0.0,1620.0,5300.0,0.0
264,"290510,00",Caém,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29051040] Prefeitura Municipal de Caém - PMC,204.0,206.0,3.8,16.86,16.86,20.6,235.0,0.0,0.0
268,"290540,00",Cairu,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29054040] Secretaria de Administração - SECADM,1324.0,1792.0,8.33,211.49,211.49,226.98,1562.0,0.0,0.0
270,"290560,00",Camacan,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29056040] PREFEITURA MUNICIPAL DE CAMACÃ - PMC,3142.0,3251.0,41.83,268.07,268.07,327.66,3744.0,9068.0,0.0
271,"290570,00",Camaçari,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29057040] Limpec - Limpeza Pública de Camaçari - LIMPEC,33978.0,51669.0,181.93,5049.11,3212.38,5284.7,35806.0,108247.0,0.0
272,"290580,00",Camamu,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29058040] Prefeitura Municipal - PM,723.0,745.0,6.11,66.34,66.34,69.47,807.0,2288.0,0.0
274,"290600,00",Campo Formoso,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,858.0,858.0,2.69,56.48,56.48,73.27,981.0,2718.0,0.0
275,"290610,00",Canápolis,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,1138.0,1147.0,15.14,93.24,93.24,114.72,1264.0,3328.0,0.0
277,"290630,00",Canavieiras,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,6182.0,6244.0,82.76,527.13,527.13,616.65,7140.0,16651.0,0.0
279,"290650,00",Candeias,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,12923.0,13856.0,176.47,1231.31,1219.37,1392.41,14813.0,37542.0,0.0
282,"290680,00",Cansanção,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29068011] Prefeitura Municipal de Cansanção - PMC,1000.0,,10.0,432.0,0.0,0.0,1000.0,6000.0,0.0
283,"290682,00",Canudos,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29068211] Prefeitura Municipal de Canudos - PMC | [29068240] PREFEITURA MUNICIPAL DE CANUDOS - PMC,2460.0,2465.0,31.0,535.48,0.0,0.0,4108.0,6084.0,0.0
284,"290685,00",Capela do Alto Alegre,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29068511] Prefeitura Municipal de Capela do Alto Alegre - PMCAA | [29068540] PREFEITURA MUNICIPAL DE CAPELA DO ALTO ALEGRE PMCAA - PMCAA,30.0,,6.0,100.0,0.0,0.0,50.0,2500.0,100.0
285,"290687,00",Capim Grosso,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29068740] PREFEITURA MUNICIPAL DE CAPIM GROSSO - PMCG,551.0,560.0,5.91,41.77,41.77,51.82,597.0,0.0,0.0
287,"290690,00",Caravelas,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,1899.0,2032.0,18.66,169.32,169.32,201.71,2012.0,5711.0,0.0
289,"290710,00",Carinhanha,BA,"2019,00",[29071011] Serviço Autônomo de Água e Esgoto - SAAE,3746.0,3746.0,50.0,771.6,771.6,771.6,4108.0,10294.0,0.0
290,"290720,00",Casa Nova,BA,"2019,00",[29072011] Serviço Autônomo de Água e Esgoto - SAAE,5962.0,5969.0,213.0,374.94,0.0,397.7,6703.0,30000.0,0.0
291,"290730,00",Castro Alves,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29073040] PREFEITURA MUNICIPAL DE CASTRO ALVES - PMCA,220.0,223.0,1.46,18.24,18.24,21.13,234.0,663.0,0.0
294,"290755,00",Caturama,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,647.0,679.0,15.89,58.78,58.78,68.69,674.0,1871.0,0.0
296,"290770,00",Chorrochó,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29077040] SECRETARIA DE OBRAS E INFRAESTRUTURA - SECINFRA,814.0,814.0,7.55,83.88,83.88,90.99,845.0,0.0,0.0
297,"290780,00",Cícero Dantas,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29078011] Prefeitura Municipal de Cícero Dantas - PMCD | [29078040] Prefeitura Municipal de Cícero Dantas - PMCD,5100.0,,37.0,630.0,0.0,0.0,5150.0,13700.0,0.0
298,"290790,00",Cipó,BA,"2019,00","[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29079011] Prefeitura Municipal de Cipó - PMC | [29079040] Secretaria de Agricultura, Aquicultura Meio Ambiente e Desenvolvimento Sustentavel - seamades",480.0,2000.0,5.0,200.0,0.0,0.0,600.0,1021.0,0.0
301,"290820,00",Conceição da Feira,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,142.0,142.0,1.12,11.76,11.76,12.58,148.0,443.0,0.0
303,"290840,00",Conceição do Coité,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,1025.0,1025.0,6.72,67.59,67.59,88.96,1229.0,1080.0,0.0
304,"290850,00",Conceição do Jacuípe,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29085040] Município de Conceição do Jacuipe - PMCJ,470.0,470.0,2.84,39.13,39.13,37.72,483.0,1364.0,0.0
305,"290860,00",Conde,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29086040] Secretaria de Obras e Serviços Urbanos - SEMOE,2073.0,2129.0,30.33,203.72,203.72,231.4,2231.0,6414.0,0.0
314,"290950,00",Cravolândia,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29095040] SERVIÇO DE LIMPEZA URBANA - PMC,977.0,979.0,24.28,76.13,76.13,90.01,1121.0,2681.0,0.0
317,"290980,00",Cruz das Almas,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,8104.0,8761.0,152.4,785.45,785.45,824.76,8458.0,21729.0,0.0
318,"290990,00",Curaçá,BA,"2019,00",[29099011] Serviço Autônomo de Água e Esgoto - SAAE | [29099040] PREFEITURA MUNICIPAL DE CURAÇÁ BAHIA - PMC,2736.0,2748.0,14.86,1100.5,920.5,878.0,2930.0,9857.0,0.0
320,"291005,00",Dias d Ávila,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,11060.0,12384.0,93.48,1388.78,1388.78,1189.44,11887.0,32868.0,0.0
324,"291040,00",Encruzilhada,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,1353.0,1366.0,28.94,120.05,120.05,130.05,1463.0,3671.0,0.0
325,"291050,00",Entre Rios,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,1704.0,1806.0,28.48,204.49,204.49,206.65,1727.0,0.0,0.0
328,"291070,00",Euclides da Cunha,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,3656.0,3734.0,46.6,353.82,353.82,380.89,3952.0,10212.0,0.0
329,"291072,00",Eunápolis,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29107240] PREFEITURA MUNICIPAL DE EUNÁPOLIS - EUNÁPOLIS,4375.0,4406.0,23.73,376.65,376.65,415.05,4570.0,12752.0,0.0
332,"291080,00",Feira de Santana,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29108040] SESP - SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS - SESP,117291.0,134441.0,678.22,14752.28,14752.28,13832.47,133022.0,368424.0,0.0
335,"291100,00",Floresta Azul,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29110011] Prefeitura Municipal de Floresta Azul - PMFA | [29110040] Prefeitura Municipal de Floresta azul - PMFA,2400.0,,22.2,315.0,0.0,0.0,2500.0,7322.0,0.0
337,"291120,00",Gandu,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29112012] Prefeitura Municipal de Gandu - PMG,8309.0,,30.0,376.06,0.0,0.0,9829.0,26541.0,0.0
338,"291125,00",Gavião,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29112511] Prefeitura Municipal de Gavião - pmg | [29112540] Prefeitura Municipal de Gavião - PMG,42.0,,0.8,400.0,0.0,0.0,100.0,2483.0,0.0
339,"291130,00",Gentio do Ouro,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29113040] PREFEITURA MUNICIPAL DE GENTIO DO OURO - PM,804.0,810.0,11.13,83.86,83.63,78.48,898.0,2268.0,0.0
340,"291140,00",Glória,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29114040] Prefeitura Municipal de Glória - PMG,693.0,706.0,13.62,68.7,68.7,77.52,754.0,1939.0,0.0
344,"291170,00",Guanambi,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,16212.0,19735.0,238.73,2104.42,2104.42,2331.16,17382.0,53607.0,0.0
350,"291220,00",Ibicoara,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29122011] Prefeitura Municipal de Ibicoara - PMI | [29122040] Prefeitura Municipal de Ibicoara - PMI,1600.0,,25.0,120.0,0.0,0.0,1686.0,4552.0,0.0
351,"291230,00",Ibicuí,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29123011] Prefeitura Municipal de Ibicuí - PMI,3700.0,,100.0,1200.0,0.0,0.0,3770.0,11767.0,0.0
358,"291300,00",Ibitiara,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29130040] Prefeitura Municipal - PM,460.0,469.0,2.19,35.95,35.95,43.93,518.0,1339.0,0.0
360,"291320,00",Ibotirama,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,6015.0,6229.0,56.72,581.4,581.4,676.9,6661.0,17017.0,0.0
362,"291340,00",Igaporã,BA,"2019,00",[29134011] Serviço Autônomo de Água e Esgoto - SAAE | [29134040] SECRETARIA MUNICIPAL DE INFRAESTRUTURA - BA,2780.0,2780.0,37.2,440.8,415.5,0.0,3111.0,6795.0,0.0
364,"291350,00",Iguaí,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,620.0,626.0,4.77,45.29,45.29,57.34,680.0,1827.0,0.0
365,"291360,00",Ilhéus,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,31630.0,39038.0,152.92,4064.51,4064.51,4124.25,34928.0,93514.0,0.0
366,"291370,00",Inhambupe,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29137011] Prefeitura Municipal de Inhambupe - PMI | [29137040] Secretária de Infraestrutura Serviço Público - SEINFRA,6657.0,,49.0,1654.0,0.0,0.0,6680.0,14325.0,0.0
368,"291390,00",Ipiaú,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29139040] Prefeitura Municipal de Ipiaú - PM,4341.0,4528.0,44.13,371.83,371.83,423.15,4540.0,12691.0,0.0
369,"291400,00",Ipirá,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29140040] Secretaria de Infraestrutura - SEINFRA,1086.0,1086.0,9.97,83.88,83.88,97.95,1236.0,2616.0,0.0
370,"291410,00",Ipupiara,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29141040] Prefeitura Municipal de Ipupiara - PMI,1686.0,1716.0,23.62,145.37,145.37,171.14,1786.0,4789.0,0.0
374,"291450,00",Irará,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29145011] Prefeitura Municipal de Irará - PMI | [29145040] Prefeitura Municipal de Irará - PMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
375,"291460,00",Irecê,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29146040] SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS - SISP,4394.0,4466.0,25.42,373.73,373.73,436.08,4606.0,12649.0,0.0
376,"291465,00",Itabela,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,322.0,325.0,2.07,29.44,29.44,30.83,324.0,1002.0,0.0
377,"291470,00",Itaberaba,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29147040] PREFEITURA MUNICIPAL - PMI,4088.0,4167.0,23.76,277.83,277.83,329.47,4437.0,11912.0,0.0
378,"291480,00",Itabuna,BA,"2019,00",[29148011] Empresa Municipal de Água e Saneamento Ambiental S/A - EMASA | [29148040] PREFEITURA MUNICIPAL DE ITABUNA - PMI,40114.0,58677.0,353.0,14396.69,4606.93,11054.4,52912.0,168019.0,0.0
379,"291490,00",Itacaré,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,3578.0,4132.0,25.09,420.99,420.99,436.46,3889.0,10842.0,0.0
381,"291510,00",Itagi,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29151011] Prefeitura Municipal de Itagi - PMI | [29151040] SECRETARIA MUNICPAL DE INFRAESTRUTURA - INFRA,1950.0,,15.0,150.0,0.0,0.0,2000.0,9662.0,4000.0
382,"291520,00",Itagibá,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29152040] Prefeitura Municipal de Itagibá - PMI,1199.0,1225.0,10.39,97.04,97.04,110.51,1244.0,3504.0,0.0
385,"291540,00",Itaju do Colônia,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,1253.0,1260.0,14.23,138.35,138.35,122.28,1485.0,3484.0,0.0
386,"291550,00",Itajuípe,BA,"2019,00",[29155011] Serviço Autônomo de Água e Esgoto de Itajuípe - SAAE | [29155040] Secretaria de Desenvolvimento Urbano - SEDUR,5819.0,5849.0,65.62,642.1,0.0,0.0,6141.0,15812.0,0.0
387,"291560,00",Itamaraju,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA,14835.0,15453.0,29.67,1431.63,1431.63,1623.24,16660.0,41954.0,0.0
389,"291580,00",Itambé,BA,"2019,00",[29274000] Empresa Baiana de Águas e Saneamento S.A. - EMBASA | [29158040] Prefeitura Municipal de Itambé - PMI,295.0,295.0,2.74,26.4,26.4,29.89,333.0,915.0,0.0
