,Código do Município,Município,Estado,Ano de Referência,Prestadores,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX
13,"120080,00",Porto Acre,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12008040] PREFEITURA MUNICIPAL DE PORTO ACRE - PMPA,3915.0,1103.0,1105.0,93.9,479.98,418.18,199.92,355659.48,1014255.56,44882.04,104318.41,0.0,1163456.01,1486738.01,0.0,
14,"120039,00",Porto Walter,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,4530.0,875.0,876.0,37.99,320.98,0.0,176.13,51220.61,251494.98,14419.08,186276.36,0.0,452190.42,628526.06,0.0,
15,"120040,00",Rio Branco,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12004040] Secretaria Municipal de Zeladoria da Cidade - SMZC,221012.0,62898.0,66066.0,1148.66,32393.4,32393.4,13230.7,24073437.45,25440988.28,9707966.4,7476980.92,2142614.68,45262230.02,53688847.33,0.0,493679.74
16,"120042,00",Rodrigues Alves,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12004240] PREFEITURA MUNICIPAL DE RODRIGUES ALVES - PMRA,5913.0,1348.0,1379.0,22.48,699.87,0.0,270.42,81137.47,248231.28,10665.0,57713.52,0.0,316609.8,492945.44,0.0,
17,"120043,00",Santa Rosa do Purus,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,3465.0,644.0,644.0,11.23,351.31,351.31,145.52,109583.4,221639.28,71767.88,107813.99,0.0,401221.15,562862.15,0.0,
18,"120045,00",Senador Guiomard,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,6769.0,1956.0,1956.0,69.67,705.3,705.3,327.86,455220.36,1635878.13,158183.4,269843.58,0.0,2063905.11,2416576.38,0.0,
19,"120050,00",Sena Madureira,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12005040] Prefeitura Municipal de Sena Madureira - PMSM,15760.0,4008.0,4036.0,78.64,1798.36,1798.36,831.96,907592.64,1546935.99,806284.68,629084.66,0.0,2982305.33,3467228.33,0.0,
20,"120060,00",Tarauacá,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,15014.0,3227.0,3268.0,89.0,2923.23,2433.01,535.3,633093.62,940247.74,344921.54,807666.0,0.0,2092835.28,2607147.55,0.0,
21,"120070,00",Xapuri,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,10210.0,2945.0,2991.0,72.02,1158.78,1158.78,597.4,1067188.26,639686.34,275689.94,214069.22,0.0,1129445.5,1438032.86,0.0,
22,"270010,00",Água Branca,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27001040] Prefeitura Municipal de Água Branca - PMAB,12874.0,3533.0,3742.0,46.0,28.78,0.0,484.56,3205480.71,1467737.78,15621.38,1633937.3,350988.66,3487993.54,3806645.48,0.0,19708.42
23,"270020,00",Anadia,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,8312.0,2145.0,2200.0,20.7,1340.83,1340.83,289.3,1977709.57,729535.09,12428.56,174972.42,120740.88,1049504.16,1220201.8,0.0,11827.21
24,"270030,00",Arapiraca,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27003040] Prefeitura Municipal de Arapiraca - PMA,220780.0,56801.0,57929.0,640.78,8532.18,8532.18,8265.58,68142119.29,6618615.12,15024.71,14324922.23,4235782.21,25572361.68,29000551.85,0.0,378017.41
27,"270060,00",Barra de São Miguel,AL,"2019,00","[27043000] Companhia de Saneamento de Alagoas - CASAL | [27006040] Secretaria Municipal de Infraestrutura, Acessibilidade e Transporte - SEMIAT",8322.0,3753.0,4479.0,51.0,2041.78,2031.7,703.68,6618859.28,1003935.7,44484.95,381165.82,224377.83,1693783.29,1924241.08,0.0,39818.99
28,"270070,00",Batalha,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27007040] Prefeitura Municipal de Batalha - PMB,10648.0,2785.0,2863.0,75.0,0.0,0.0,365.98,3967947.33,1200915.34,7128.86,1101012.89,129040.65,2453425.33,2736729.84,0.0,15327.59
30,"270090,00",Belo Monte,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27009040] Prefeitura Municipal de Belo Monte - PMBM,1750.0,597.0,599.0,32.3,159.62,0.0,77.81,647802.9,148800.86,15602.22,340697.12,22424.53,530677.19,559061.32,0.0,3152.46
31,"270100,00",Boca da Mata,AL,"2019,00",[27010011] Serviço Autônomo de Água e Esgoto - SAAE,18469.0,5116.0,5116.0,90.0,1230.0,1230.0,564.92,1929927.28,878577.97,140422.8,375815.14,11304.0,1769464.9,1785372.79,0.0,172068.46
33,"270120,00",Cacimbinhas,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27012040] Prefeitura Municipal de Cacimbinhas - PMC,2948.0,773.0,800.0,36.1,0.0,0.0,90.22,983673.15,80745.35,0.0,229424.62,18439.97,332164.7,354424.71,0.0,3554.76
34,"270130,00",Cajueiro,AL,"2019,00",[27013011] Serviço Autônomo de Água e Esgoto - SAAE,18933.0,6020.0,6317.0,60.2,1942.6,1664.4,1590.23,2599427.61,1446209.38,230184.7,188759.65,315820.0,2327497.54,2590416.93,0.0,16784.88
36,"270140,00",Campo Alegre,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27014011] Prefeitura Municipal de Campo Alegre - PMCA | [27014040] SECRETARIA DE UBANISMO E SERVIÇOS PÚBLICOS - SMUSP,50112.0,8383.0,9408.0,74.23,3238.69,205.73,1257.25,2947477.72,718560.62,79030.83,1115617.3,115098.9,2230408.22,2310507.06,0.0,7163.33
37,"270150,00",Campo Grande,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,7822.0,2218.0,2258.0,21.9,0.0,0.0,307.16,1983290.89,137483.09,0.0,191528.98,22.8,342416.56,378372.36,0.0,13381.69
38,"270160,00",Canapi,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27016040] PREFEITURA MUNICIPAL DE CANAPI - PMC,5501.0,1659.0,1675.0,23.0,0.0,0.0,217.4,1359545.76,117647.03,0.0,582259.73,136642.94,844583.06,873811.02,0.0,8033.36
39,"270170,00",Capela,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,8876.0,2293.0,2481.0,23.23,782.38,782.38,325.95,2078430.04,686266.34,149980.24,198911.42,175891.76,1225398.95,1389825.95,0.0,14349.19
40,"270180,00",Carneiros,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,5782.0,1535.0,1549.0,28.8,0.0,0.0,194.78,1237081.79,1349.29,0.0,406458.85,49973.03,465357.98,465357.98,0.0,7576.81
42,"270200,00",Coité do Nóia,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27020040] Prefeitura Municipal de Coité do Nóia - PMCN,2396.0,618.0,623.0,10.27,0.0,0.0,87.37,480806.19,75634.44,0.0,197554.26,140478.84,417765.74,439983.76,0.0,4098.2
43,"270210,00",Colônia Leopoldina,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,12012.0,3103.0,3157.0,23.0,1009.35,1009.35,420.95,2653766.26,335703.36,115613.55,144992.56,113830.78,729511.66,859516.35,0.0,19371.41
44,"270220,00",Coqueiro Seco,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,4052.0,1045.0,1053.0,10.2,350.34,0.0,136.69,1006130.36,117711.58,7763.19,83184.46,39378.05,254190.04,402044.36,0.0,6152.76
45,"270230,00",Coruripe,AL,"2019,00",[27023011] Prefeitura Municipal de Coruripe - PMC,56570.0,15586.0,15586.0,252.0,7080.1,0.0,7080.1,3579848.82,668640.45,20100.22,1699897.93,2320153.69,5510347.13,6510347.13,37387.0,127252.25
46,"270235,00",Craíbas,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,14551.0,4232.0,4261.0,155.75,0.0,0.0,575.83,4329789.49,536212.46,0.0,1278471.63,876.3,1838106.05,1965644.76,0.0,22545.66
47,"270240,00",Delmiro Gouveia,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27024040] prefeitura municipal de Delmiro Gouveia - pmdg,51689.0,14937.0,15591.0,312.0,3355.23,3267.64,2145.96,16359983.7,5782519.32,160909.41,3756256.02,4811773.87,14605913.44,16929593.58,0.0,94454.82
48,"270250,00",Dois Riachos,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27025040] Prefeitura Municipal de Dois Riachos - PMDR,4668.0,1187.0,1191.0,26.4,0.0,0.0,153.15,1057962.37,165379.91,0.0,406044.08,34456.58,612196.4,649262.86,0.0,6315.83
49,"270255,00",Estrela de Alagoas,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,7002.0,1925.0,1950.0,19.0,520.83,520.83,245.17,1706248.8,615846.65,7944.79,99057.43,97196.88,829807.53,985384.01,0.0,9761.78
50,"270260,00",Feira Grande,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,8132.0,2119.0,2160.0,15.16,0.0,0.0,284.96,1932303.33,251699.97,0.0,129184.14,1571.02,394749.78,460244.73,0.0,12294.65
51,"270270,00",Feliz Deserto,AL,"2019,00",[27027011] Prefeitura Municipal de Feliz Deserto - PMFD,4754.0,1495.0,1495.0,42.0,216.0,0.0,0.0,41575.1,50160.0,12000.0,240000.0,28140.0,330300.0,330300.0,0.0,0.0
52,"270280,00",Flexeiras,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,6404.0,1653.0,1683.0,18.0,385.6,385.6,173.35,1624318.87,699962.5,17989.49,11582.3,96016.39,834540.65,993309.53,0.0,8989.97
53,"270290,00",Girau do Ponciano,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27029040] Prefeitura Municipal de Girau do Ponciano - PMGP,16026.0,4372.0,4441.0,59.66,0.0,0.0,591.27,6143742.64,575160.77,0.0,428528.57,25466.73,1055136.8,1207211.59,0.0,25980.73
54,"270300,00",Ibateguara,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27030040] PREFEITURA MUNICIPAL DE IBATEGUARA - PMI,6240.0,1575.0,1578.0,16.0,358.38,358.38,200.85,1072073.08,709179.56,91419.1,102686.54,48351.61,958898.38,1162697.7,0.0,7261.57
55,"270310,00",Igaci,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,11316.0,2887.0,2909.0,151.08,0.0,0.0,387.44,2873449.98,86064.67,0.0,765356.02,132005.57,999808.25,1024118.84,0.0,16381.99
56,"270320,00",Igreja Nova,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,4974.0,1941.0,2005.0,20.8,572.66,0.0,270.12,1837259.5,308472.43,28794.02,296364.39,516983.82,1163072.38,1244369.54,0.0,12457.72
57,"270330,00",Inhapi,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27033040] Prefeitura Municipal de Inhapi (Secretaria de Obras) - P.M.I,6888.0,1788.0,1815.0,27.0,472.29,472.29,241.91,2118962.91,233673.29,0.0,1349585.41,164703.54,1758191.46,1812233.82,0.0,10229.22
58,"270340,00",Jacaré dos Homens,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27034040] Prefeitura Municipal de Jacaré Dos Homens - PMJH,4880.0,1411.0,1461.0,40.6,0.0,0.0,194.94,1421415.94,195634.86,0.0,1116485.56,50414.3,1371057.27,1411370.53,0.0,8522.55
59,"270350,00",Jacuípe,AL,"2019,00","[27043000] Companhia de Saneamento de Alagoas - CASAL | [27035040] secretaria municipal de infraestrutura, transportes e serviços públicos - SMITSP",3712.0,945.0,977.0,12.0,209.94,209.94,123.06,842310.49,347138.12,52237.75,54816.6,36252.58,495325.93,588267.58,0.0,4880.88
60,"270360,00",Japaratinga,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,3936.0,1010.0,1050.0,12.0,241.72,0.0,146.46,1056825.71,3011.19,4476.94,102876.39,51329.46,168607.65,173889.45,0.0,6913.67
61,"270370,00",Jaramataia,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27037011] Prefeitura Municipal de Jaramataia - PMJ | [27037040] Prefeitura Municipal de Jaramataia - PMJ,2416.0,627.0,631.0,52.5,0.0,0.0,50.32,331096.66,177998.98,0.0,135361.07,132316.41,483780.97,613129.8,0.0,1304.51
63,"270380,00",Joaquim Gomes,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,12160.0,3132.0,3163.0,23.0,654.48,654.48,414.11,2558607.06,484774.88,72320.07,173933.76,128802.56,877180.76,993837.21,0.0,17349.49
64,"270390,00",Jundiá,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27039040] Prefeitura Municipal de Jundiá - PMJ,2808.0,804.0,807.0,5.0,380.53,380.53,106.52,631799.42,192804.62,20140.55,39361.43,29080.2,285800.25,351843.76,0.0,4413.45
65,"270400,00",Junqueiro,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,7520.0,1975.0,2001.0,15.0,1291.05,1291.05,300.48,1982936.57,1164877.9,11017.18,434069.71,120652.99,1753870.1,2031860.29,0.0,23252.32
66,"270410,00",Lagoa da Canoa,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,10776.0,2771.0,2789.0,31.5,0.0,0.0,370.63,2612398.16,173823.76,0.0,64230.92,1024.14,253732.37,309924.47,0.0,14653.55
68,"270430,00",Maceió,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27043040] Superintendência Municipal de Desenvolvimento Sustentável - SUDES,913127.0,155000.0,221041.0,1616.41,69793.8,40227.23,32224.67,355968020.09,127505442.84,2084238.61,21563913.49,102784810.52,276113627.43,420729535.83,0.0,22175221.97
69,"270440,00",Major Isidoro,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27044040] PREFEITURA MUNICIPAL DE MAJOR IZIDORO - PMMI,8352.0,2182.0,2231.0,103.3,0.0,0.0,290.97,2290632.61,184061.12,0.0,1236694.07,75054.33,1508365.17,1555116.93,0.0,12555.65
70,"270450,00",Maragogi,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,15784.0,4049.0,4252.0,27.0,668.03,0.0,586.58,6774513.36,657835.02,6784.94,474410.65,175256.59,1341474.51,1489604.74,0.0,27187.31
71,"270460,00",Maravilha,AL,"2019,00","[27043000] Companhia de Saneamento de Alagoas - CASAL | [27046040] SECRETARIA MUNICIPAL DE OBRAS, URBANISMO E LIMPEZA URBANA - SMOULU",5450.0,1521.0,1549.0,32.6,0.0,0.0,180.47,1146156.45,1163.46,0.0,652541.39,44102.08,704340.22,708595.4,0.0,6533.29
72,"270470,00",Marechal Deodoro,AL,"2019,00",[27047011] Serviço Autônomo de Água e Esgoto - SAAE,51901.0,21401.0,21401.0,157.2,11788.64,3035.66,5186.99,14213358.38,5465281.75,1510410.5,2317834.65,1989476.77,13781537.12,13781537.12,0.0,105712.94
73,"270480,00",Maribondo,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27048040] Prefeitura Municipal de Maribondo - PMM,8300.0,2191.0,2218.0,23.25,0.0,0.0,292.04,1920137.37,168196.46,0.0,152647.21,78377.04,411493.59,449531.01,0.0,12272.88
74,"270490,00",Mar Vermelho,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,1627.0,598.0,613.0,5.25,75.44,75.44,77.0,488237.37,87971.02,0.0,45244.48,20973.41,157341.37,178766.09,0.0,3152.46
75,"270500,00",Mata Grande,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,9520.0,2397.0,2571.0,51.0,0.0,0.0,317.7,1875922.44,743470.01,0.0,1106972.9,191832.12,2055341.48,2247805.88,0.0,13066.45
76,"270510,00",Matriz de Camaragibe,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,8948.0,2310.0,2340.0,23.0,358.97,0.0,311.02,1783642.61,230967.65,39371.9,109027.07,65281.78,457573.54,526962.88,0.0,12925.14
77,"270520,00",Messias,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,12080.0,3120.0,3132.0,19.0,826.22,0.0,407.77,2771418.8,102500.93,24822.3,272621.23,131386.85,547887.26,585025.66,0.0,16555.95
78,"270530,00",Minador do Negrão,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,2348.0,607.0,621.0,6.21,0.0,0.0,77.53,566776.46,115515.43,0.0,72764.71,24165.23,215597.83,256448.01,0.0,3152.46
79,"270540,00",Monteirópolis,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,4600.0,1345.0,1381.0,28.2,0.0,0.0,172.61,1217917.81,300268.38,0.0,405671.04,40167.81,752901.37,828289.52,0.0,6794.14
80,"270550,00",Murici,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,13876.0,3565.0,3596.0,32.0,1307.58,1307.58,461.39,2787129.14,680481.02,72959.75,527756.51,191477.43,1493839.67,1652279.43,0.0,21164.96
81,"270560,00",Novo Lino,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,5252.0,1345.0,1355.0,9.0,380.18,380.18,171.86,1220735.32,506795.03,25161.16,159594.11,69790.48,767971.85,892273.85,0.0,6631.07
82,"270570,00",Olho d Água das Flores,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27057040] PREFEITURA MUNICIPAL DE OLHO D´ÁGUA DAS FLORES - PMOAF,19603.0,6085.0,6188.0,89.0,0.0,0.0,812.28,5656930.0,162274.04,0.0,2188338.84,184544.52,2571661.01,2606694.52,0.0,36503.61
83,"270580,00",Olho d Água do Casado,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,5460.0,1387.0,1418.0,21.0,1027.79,1027.79,187.6,1957232.17,216805.75,7646.61,32025.22,137917.77,402265.65,454410.1,0.0,7870.3
84,"270590,00",Olho d Água Grande,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,2623.0,561.0,577.0,7.5,0.0,0.0,80.94,510669.55,753.03,0.0,31223.83,12.01,36217.49,39325.93,0.0,4228.62
85,"270600,00",Olivença,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,5563.0,1643.0,1656.0,26.3,0.0,0.0,206.64,1351319.25,200647.27,0.0,270534.57,59172.22,538561.37,588933.01,0.0,8207.31
86,"270610,00",Ouro Branco,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27061040] SECRETARIA DE OBRAS - SMOV,3900.0,989.0,1001.0,28.0,0.0,0.0,91.1,597581.84,98659.18,0.0,402978.12,30731.98,535304.44,563030.2,0.0,2935.16
87,"270620,00",Palestina,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,3827.0,1008.0,1020.0,25.5,0.0,0.0,131.72,952839.42,974.07,0.0,270767.52,36793.38,313741.98,317446.29,0.0,5207.01
88,"270630,00",Palmeira dos Índios,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27063040] SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS E CONVÍVIO URBANO - SPCU,68786.0,18679.0,19402.0,313.16,0.0,0.0,2693.25,22537019.1,4353212.55,642800.92,3175499.98,2847494.16,11145383.33,12530650.6,0.0,126375.72
89,"270640,00",Pão de Açúcar,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,556.0,115.0,143.0,3.5,12730.12,0.0,381.76,1035023.38,1401684.71,133510.09,135181.57,521835.21,2200255.83,2564511.24,0.0,8044.25
90,"270642,00",Pariconha,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27064240] Prefeitura Municipal de Pariconha - PMP,7976.0,2276.0,2348.0,36.0,4187.47,2435.85,309.12,2092748.21,547122.55,28.8,529967.16,197722.36,1288407.39,1416168.03,0.0,13566.52
91,"270644,00",Paripueira,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,10648.0,2732.0,2778.0,32.0,630.49,0.0,389.46,3178577.67,232532.49,4616.0,315234.71,153061.66,723261.78,781730.49,0.0,17816.92
92,"270650,00",Passo de Camaragibe,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,4912.0,1286.0,1297.0,14.0,343.56,343.56,170.93,1006054.64,970147.36,43120.07,75700.44,50104.13,1146159.61,1392987.15,0.0,7087.61
93,"270660,00",Paulo Jacinto,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,5300.0,1890.0,1946.0,17.0,521.05,521.05,259.42,1862824.77,684338.88,5512.9,57456.46,88500.55,846831.56,1016022.69,0.0,11022.77
94,"270670,00",Penedo,AL,"2019,00",[27067011] Serviço Autônomo de Água e Esgoto - SAAE | [27067040] Secretaria Municipal de Serviços Públicos - SEMSP,62409.0,17320.0,17320.0,151.0,4203.03,3265.23,2661.76,11833638.0,6225674.25,485189.08,1878807.94,1522370.46,10887820.62,10995722.97,0.0,107902.35
95,"270680,00",Piaçabuçu,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,10084.0,2599.0,2641.0,13.62,1163.52,1116.9,351.54,3256458.06,479262.55,21029.3,294225.21,287902.33,1098497.01,1212977.03,0.0,16077.62
96,"270690,00",Pilar,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,17236.0,4503.0,4542.0,47.0,1256.98,1256.98,619.11,4677904.0,327800.25,51988.46,184714.5,182178.32,775064.7,860561.75,0.0,28383.17
97,"270700,00",Pindoba,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27070040] Prefeitura Municipal de Pindoba - PMP,1256.0,330.0,333.0,4.0,98.13,98.13,42.06,257926.48,548.69,0.0,24085.88,11468.78,37679.57,50987.57,0.0,1576.22
98,"270710,00",Piranhas,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,18843.0,5067.0,5381.0,57.0,2521.63,2494.55,729.81,8543019.13,1074801.17,9022.86,1356434.35,425085.8,2899901.9,3165074.32,0.0,34557.72
99,"270720,00",Poço das Trincheiras,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27072040] Prefeitura Municipal de Poço Das Trincheiras - PMPT,3908.0,1025.0,1042.0,26.2,0.0,0.0,139.56,1065796.36,231276.15,0.0,532353.75,36867.72,807139.58,855981.29,0.0,6641.96
